"ID","Name","Sex","Age","Height","Weight","Team","NOC","Games","Year","Season","City","Sport","Event","Medal"
"112564","Ingvild Nicoline Nerdrum Snildal","F",19,178,NA,"Norway","NOR","2008 Summer",2008,"Summer","Beijing","Swimming","Swimming Women's 200 metres Butterfly",NA
"112564","Ingvild Nicoline Nerdrum Snildal","F",23,178,NA,"Norway","NOR","2012 Summer",2012,"Summer","London","Swimming","Swimming Women's 100 metres Butterfly",NA
"112564","Ingvild Nicoline Nerdrum Snildal","F",23,178,NA,"Norway","NOR","2012 Summer",2012,"Summer","London","Swimming","Swimming Women's 200 metres Butterfly",NA
"112567","Ihor Hryhorovych Snitko","M",17,190,81,"Ukraine","UKR","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Men's 400 metres Freestyle",NA
"112567","Ihor Hryhorovych Snitko","M",17,190,81,"Ukraine","UKR","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Men's 1,500 metres Freestyle",NA
"112567","Ihor Hryhorovych Snitko","M",22,190,81,"Ukraine","UKR","2000 Summer",2000,"Summer","Sydney","Swimming","Swimming Men's 400 metres Freestyle",NA
"112567","Ihor Hryhorovych Snitko","M",22,190,81,"Ukraine","UKR","2000 Summer",2000,"Summer","Sydney","Swimming","Swimming Men's 1,500 metres Freestyle",NA
"112567","Ihor Hryhorovych Snitko","M",22,190,81,"Ukraine","UKR","2000 Summer",2000,"Summer","Sydney","Swimming","Swimming Men's 4 x 200 metres Freestyle Relay",NA
"112595","Glenn Andrew Mark Snyders","M",21,178,83,"New Zealand","NZL","2008 Summer",2008,"Summer","Beijing","Swimming","Swimming Men's 100 metres Breaststroke",NA
"112595","Glenn Andrew Mark Snyders","M",21,178,83,"New Zealand","NZL","2008 Summer",2008,"Summer","Beijing","Swimming","Swimming Men's 200 metres Breaststroke",NA
"112595","Glenn Andrew Mark Snyders","M",21,178,83,"New Zealand","NZL","2008 Summer",2008,"Summer","Beijing","Swimming","Swimming Men's 4 x 100 metres Medley Relay",NA
"112595","Glenn Andrew Mark Snyders","M",25,178,83,"New Zealand","NZL","2012 Summer",2012,"Summer","London","Swimming","Swimming Men's 100 metres Breaststroke",NA
"112595","Glenn Andrew Mark Snyders","M",25,178,83,"New Zealand","NZL","2012 Summer",2012,"Summer","London","Swimming","Swimming Men's 200 metres Breaststroke",NA
"112595","Glenn Andrew Mark Snyders","M",25,178,83,"New Zealand","NZL","2012 Summer",2012,"Summer","London","Swimming","Swimming Men's 4 x 100 metres Medley Relay",NA
"112595","Glenn Andrew Mark Snyders","M",29,178,83,"New Zealand","NZL","2016 Summer",2016,"Summer","Rio de Janeiro","Swimming","Swimming Men's 100 metres Breaststroke",NA
"112595","Glenn Andrew Mark Snyders","M",29,178,83,"New Zealand","NZL","2016 Summer",2016,"Summer","Rio de Janeiro","Swimming","Swimming Men's 200 metres Breaststroke",NA
"112635","Alex Sobers","M",17,188,66,"Barbados","BAR","2016 Summer",2016,"Summer","Rio de Janeiro","Swimming","Swimming Men's 400 metres Freestyle",NA
"112680","Glen Sochasky","M",19,NA,NA,"Venezuela","VEN","1976 Summer",1976,"Summer","Montreal","Swimming","Swimming Men's 4 x 200 metres Freestyle Relay",NA
"112680","Glen Sochasky","M",19,NA,NA,"Venezuela","VEN","1976 Summer",1976,"Summer","Montreal","Swimming","Swimming Men's 100 metres Breaststroke",NA
"112680","Glen Sochasky","M",19,NA,NA,"Venezuela","VEN","1976 Summer",1976,"Summer","Montreal","Swimming","Swimming Men's 4 x 100 metres Medley Relay",NA
"112714","Per Michael Sderlund","M",18,181,75,"Sweden","SWE","1980 Summer",1980,"Summer","Moskva","Swimming","Swimming Men's 4 x 200 metres Freestyle Relay",NA
"112714","Per Michael Sderlund","M",18,181,75,"Sweden","SWE","1980 Summer",1980,"Summer","Moskva","Swimming","Swimming Men's 100 metres Backstroke",NA
"112714","Per Michael Sderlund","M",18,181,75,"Sweden","SWE","1980 Summer",1980,"Summer","Moskva","Swimming","Swimming Men's 200 metres Backstroke",NA
"112714","Per Michael Sderlund","M",18,181,75,"Sweden","SWE","1980 Summer",1980,"Summer","Moskva","Swimming","Swimming Men's 4 x 100 metres Medley Relay",NA
"112714","Per Michael Sderlund","M",22,181,75,"Sweden","SWE","1984 Summer",1984,"Summer","Los Angeles","Swimming","Swimming Men's 4 x 100 metres Freestyle Relay","Bronze"
"112714","Per Michael Sderlund","M",22,181,75,"Sweden","SWE","1984 Summer",1984,"Summer","Los Angeles","Swimming","Swimming Men's 4 x 200 metres Freestyle Relay",NA
"112714","Per Michael Sderlund","M",22,181,75,"Sweden","SWE","1984 Summer",1984,"Summer","Los Angeles","Swimming","Swimming Men's 200 metres Backstroke",NA
"112714","Per Michael Sderlund","M",22,181,75,"Sweden","SWE","1984 Summer",1984,"Summer","Los Angeles","Swimming","Swimming Men's 4 x 100 metres Medley Relay",NA
"112714","Per Michael Sderlund","M",26,181,75,"Sweden","SWE","1988 Summer",1988,"Summer","Seoul","Swimming","Swimming Men's 4 x 200 metres Freestyle Relay",NA
